config,total_events,tool_calls,tool_calls_allowed,tool_calls_denied,memory_reads,memory_writes,handoffs,consensus_votes,llm_calls,e2e_latency_s,total_tokens,phases_completed,false_blocks
flat,21,10,10,0,0,4,3,0,4,166.3,16696,4,0
acl_hardened,19,8,8,0,0,4,3,0,4,155.2,16453,4,0
agenticcyops,78,10,9,1,6,4,3,8,4,296.7,11262,4,1
