config,total_events,tool_calls,tool_calls_allowed,tool_calls_denied,memory_reads,memory_writes,handoffs,consensus_votes,llm_calls,e2e_latency_s,total_tokens,phases_completed,false_blocks
flat,25,13,13,0,0,5,3,0,4,31.8,15097,4,0
acl_hardened,26,14,8,6,0,5,3,0,4,30.6,15261,4,6
agenticcyops,171,14,12,2,5,5,3,36,4,445.4,9363,4,2
