config,overall_asr,tsr,tsr_strict,ers,ers_strict,false_blocks,n_groups
flat,0.3032,1.0,1.0,0.6968,0.6968,0,1
acl_hardened,0.2376,1.0,0.664775,0.7624,0.5057,21,1
agenticcyops,0.008025000000000001,1.0,0.8631,0.9919749999999999,0.856075,7,1
