config,total_events,tool_calls,tool_calls_allowed,tool_calls_denied,memory_reads,memory_writes,handoffs,consensus_votes,llm_calls,e2e_latency_s,total_tokens,phases_completed,false_blocks
flat,16,5,5,0,0,4,3,0,3,41.3,13495,4,0
acl_hardened,18,7,5,2,0,4,3,0,3,41.5,13555,4,2
agenticcyops,83,9,7,2,6,4,3,12,4,171.4,10644,4,2
