config,domain,group,total_events,phases_completed,tool_calls_total,tool_calls_allowed,tool_calls_denied,tools_visible_per_agent,p1_identity_checks,p1_identity_allow,p1_identity_deny,p1_response_checks,p1_response_allow,p1_response_deny,p1_config_checks,p2_manifest_checks,p2_manifest_allow,p2_manifest_deny,p2_parameter_checks,p2_parameter_allow,p2_parameter_deny,p2_output_checks,p2_output_allow,p2_output_deny,p2_output_redact,p3_total_validations,p3_approved,p3_rejected,p3_consensus_votes,p3_avg_confidence,p3_chain_events,p3_operational_events,p3_replay_events,p4_write_validations,p4_write_allow,p4_write_deny,p4_avg_similarity,p4_min_similarity,p4_max_similarity,p4_schema_checks,p4_metadata_checks,p5_read_validations,p5_read_allow,p5_read_deny,p5_field_filter_events,p5_query_scope_events,p5_sanitization_events,p1_fp_rate,p2_fp_rate,p3_fp_rate,p4_fp_rate,p5_fp_rate,total_fp_rate,e2e_latency_s,avg_tool_latency_ms,consensus_avg_latency_ms,total_tokens,tokens_prompt,tokens_completion,memory_reads,memory_writes
flat,healthcare,D,18,4,6,6,0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,5,5,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,90.13,5.08,0.0,14952,11898,3054,0,5
acl_hardened,healthcare,D,20,4,8,8,0,13.0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,5,5,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,80.82,4.64,0.0,14691,11898,2793,0,5
agenticcyops,healthcare,D,194,4,19,13,6,3.2,20,20,0,26,26,0,1,14,13,1,0,0,0,0,0,0,0,20,5,5,40,0.8675,10,10,10,5,0,5,0.0,0.0,0.0,0,0,5,5,0,0,0,0,0.0,0.0526,0.2632,0.0,0.0,0.3158,324.36,5.19,5629.8,11604,8613,2991,5,5
