config,total_events,tool_calls,tool_calls_allowed,tool_calls_denied,memory_reads,memory_writes,handoffs,consensus_votes,llm_calls,e2e_latency_s,total_tokens,phases_completed,false_blocks
flat,14,3,3,0,0,4,3,0,4,4.2,18052,4,0
acl_hardened,14,3,3,0,0,4,3,0,4,4.5,18052,4,0
agenticcyops,51,3,3,0,5,4,3,8,4,65.2,11148,4,0
