attack_type,config,n,succ,asr_pct
DPI,agenticcyops,16,1,6.25
DPI,flat,16,7,43.75
IPI,agenticcyops,17,0,0.0
IPI,flat,17,3,17.65
MP,agenticcyops,12,0,0.0
MP,flat,12,3,25.0
PoT,agenticcyops,5,0,0.0
PoT,flat,5,1,20.0
