config,domain,group,total_events,phases_completed,tool_calls_total,tool_calls_allowed,tool_calls_denied,tools_visible_per_agent,p1_identity_checks,p1_identity_allow,p1_identity_deny,p1_response_checks,p1_response_allow,p1_response_deny,p1_config_checks,p2_manifest_checks,p2_manifest_allow,p2_manifest_deny,p2_parameter_checks,p2_parameter_allow,p2_parameter_deny,p2_output_checks,p2_output_allow,p2_output_deny,p2_output_redact,p3_total_validations,p3_approved,p3_rejected,p3_consensus_votes,p3_avg_confidence,p3_chain_events,p3_operational_events,p3_replay_events,p4_write_validations,p4_write_allow,p4_write_deny,p4_avg_similarity,p4_min_similarity,p4_max_similarity,p4_schema_checks,p4_metadata_checks,p5_read_validations,p5_read_allow,p5_read_deny,p5_field_filter_events,p5_query_scope_events,p5_sanitization_events,p1_fp_rate,p2_fp_rate,p3_fp_rate,p4_fp_rate,p5_fp_rate,total_fp_rate,e2e_latency_s,avg_tool_latency_ms,consensus_avg_latency_ms,total_tokens,tokens_prompt,tokens_completion,memory_reads,memory_writes
flat,healthcare,B,27,4,15,15,0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,5,5,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,165.74,4.96,0.0,17032,14114,2918,0,5
acl_hardened,healthcare,B,26,4,14,12,2,13.0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,5,5,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,126.67,4.52,0.0,16561,14166,2395,0,5
agenticcyops,healthcare,B,85,4,10,7,3,3.2,10,10,0,14,14,0,1,7,7,0,0,0,0,0,0,0,0,6,0,3,12,0.7958,3,3,3,5,0,5,0.0,0.0,0.0,0,0,5,5,0,0,0,0,0.0,0.0,0.3,0.0,0.0,0.3,460.25,5.34,5864.54,13831,8076,5755,5,5
