config,total_events,tool_calls,tool_calls_allowed,tool_calls_denied,memory_reads,memory_writes,handoffs,consensus_votes,llm_calls,e2e_latency_s,total_tokens,phases_completed,false_blocks
flat,27,15,15,0,0,5,3,0,4,193.9,17032,4,0
acl_hardened,26,14,12,2,0,5,3,0,4,158.6,16561,4,2
agenticcyops,85,10,7,3,5,5,3,12,4,520.6,13831,4,3
