config,total_events,tool_calls,tool_calls_allowed,tool_calls_denied,memory_reads,memory_writes,handoffs,consensus_votes,llm_calls,e2e_latency_s,total_tokens,phases_completed,false_blocks
flat,15,4,4,0,0,4,3,0,4,3.8,16290,4,0
acl_hardened,15,4,4,0,0,4,3,0,4,2.8,16287,4,0
agenticcyops,80,6,3,3,6,4,3,16,4,107.3,8854,4,3
