config,total_events,tool_calls,tool_calls_allowed,tool_calls_denied,memory_reads,memory_writes,handoffs,consensus_votes,llm_calls,e2e_latency_s,total_tokens,phases_completed,false_blocks
flat,16,4,4,0,0,5,3,0,4,3.7,16074,4,0
acl_hardened,16,4,4,0,0,5,3,0,4,2.6,16074,4,0
agenticcyops,62,6,5,1,5,5,3,8,4,75.1,8637,4,1
