config,total_events,tool_calls,tool_calls_allowed,tool_calls_denied,memory_reads,memory_writes,handoffs,consensus_votes,llm_calls,e2e_latency_s,total_tokens,phases_completed,false_blocks
flat,23,16,16,0,0,0,3,0,4,35.7,13332,4,0
acl_hardened,22,15,9,6,0,0,3,0,4,41.1,13707,4,6
agenticcyops,63,13,13,0,0,0,3,30,4,613.3,7503,4,0
