attack_subtype,config,n,llm_asr_pct,defended_asr_pct
context_manipulation,agenticcyops,10,30.0,0.0
context_manipulation,flat,10,30.0,30.0
escape_characters,agenticcyops,10,0.0,0.0
escape_characters,flat,10,20.0,20.0
fake_completion,agenticcyops,10,30.0,0.0
fake_completion,flat,10,40.0,40.0
naive,agenticcyops,15,26.67,6.67
naive,flat,15,26.67,26.67
trigger_phrase,agenticcyops,5,20.0,0.0
trigger_phrase,flat,5,20.0,20.0
