config,total_events,tool_calls,tool_calls_allowed,tool_calls_denied,memory_reads,memory_writes,handoffs,consensus_votes,llm_calls,e2e_latency_s,total_tokens,phases_completed,false_blocks
flat,20,9,9,0,0,4,3,0,4,278.3,18671,4,0
acl_hardened,20,9,9,0,0,4,3,0,4,280.5,18761,4,0
agenticcyops,60,9,7,2,5,4,3,4,4,279.3,12260,4,2
