config,overall_asr,tsr,tsr_strict,ers,ers_strict,false_blocks,n_groups
flat,0.45777500000000004,1.0,1.0,0.542225,0.542225,0,1
acl_hardened,0.445025,1.0,0.664775,0.554975,0.367,21,1
agenticcyops,0.080125,1.0,0.88095,0.919875,0.81245,6,1
