config,total_events,tool_calls,tool_calls_allowed,tool_calls_denied,memory_reads,memory_writes,handoffs,consensus_votes,llm_calls,e2e_latency_s,total_tokens,phases_completed,false_blocks
flat,25,13,13,0,0,5,3,0,4,32.7,15097,4,0
acl_hardened,26,14,8,6,0,5,3,0,4,30.8,15261,4,6
agenticcyops,169,14,11,3,5,5,3,36,4,297.2,9343,4,3
