config,total_events,tool_calls,tool_calls_allowed,tool_calls_denied,memory_reads,memory_writes,handoffs,consensus_votes,llm_calls,e2e_latency_s,total_tokens,phases_completed,false_blocks
flat,17,10,10,0,0,0,3,0,4,153.1,13637,4,0
acl_hardened,16,9,9,0,0,0,3,0,4,155.8,13679,4,0
agenticcyops,14,7,7,0,0,0,3,0,4,164.6,7793,4,0
