config,total_events,tool_calls,tool_calls_allowed,tool_calls_denied,memory_reads,memory_writes,handoffs,consensus_votes,llm_calls,e2e_latency_s,total_tokens,phases_completed,false_blocks
flat,21,14,14,0,0,0,3,0,4,65.2,15756,4,0
acl_hardened,14,7,7,0,0,0,3,0,4,43.5,14852,4,0
agenticcyops,26,9,8,1,0,0,3,8,4,155.5,8269,4,1
