config,total_events,tool_calls,tool_calls_allowed,tool_calls_denied,memory_reads,memory_writes,handoffs,consensus_votes,llm_calls,e2e_latency_s,total_tokens,phases_completed,false_blocks
flat,30,19,19,0,0,4,3,0,4,40.6,16418,4,0
acl_hardened,30,19,10,9,0,4,3,0,4,65.0,17479,4,9
agenticcyops,107,11,11,0,7,4,3,16,4,168.2,10147,4,0
