group,domain,config,n,llm_asr_pct,defended_asr_pct,refused_pct,defense_save_rate_pct
E,legal,flat,300,3.33,3.33,87.67,0.0
E,legal,acl_hardened,300,1.33,1.33,87.33,0.0
E,legal,agenticcyops,300,2.0,0.0,86.33,100.0
