config,overall_asr,tsr,tsr_strict,ers,ers_strict,false_blocks,n_groups
flat,0.488725,1.0,1.0,0.5112749999999999,0.5112749999999999,0,1
acl_hardened,0.42925,1.0,0.928575,0.57075,0.5249,2,1
agenticcyops,0.013850000000000001,1.0,0.74675,0.98615,0.7368,12,1
