config,total_events,tool_calls,tool_calls_allowed,tool_calls_denied,memory_reads,memory_writes,handoffs,consensus_votes,llm_calls,e2e_latency_s,total_tokens,phases_completed,false_blocks
flat,34,27,27,0,0,0,3,0,4,82.5,15959,4,0
acl_hardened,17,10,10,0,0,0,3,0,4,84.6,15939,4,0
agenticcyops,38,11,11,0,0,0,3,16,4,246.0,8249,4,0
