config,overall_asr,tsr,tsr_strict,ers,ers_strict,false_blocks,n_groups
flat,0.481,1.0,1.0,0.519,0.519,0,4
acl_hardened,0.46921250000000003,1.0,0.730725,0.5307875,0.38196874999999997,65,4
agenticcyops,0.07678125,1.0,0.86303125,0.92321875,0.79796875,27,4
