config,total_events,tool_calls,tool_calls_allowed,tool_calls_denied,memory_reads,memory_writes,handoffs,consensus_votes,llm_calls,e2e_latency_s,total_tokens,phases_completed,false_blocks
flat,21,14,14,0,0,0,3,0,4,18.6,15593,4,0
acl_hardened,21,14,14,0,0,0,3,0,4,18.3,15593,4,0
agenticcyops,66,11,11,0,0,0,3,36,4,407.2,9426,4,0
