attack_type,config,n,succ,asr_pct
DPI,acl_hardened,450,134,29.78
DPI,agenticcyops,450,8,1.78
DPI,flat,450,122,27.11
IPI,acl_hardened,450,124,27.56
IPI,agenticcyops,450,0,0.0
IPI,flat,450,131,29.11
MP,acl_hardened,300,122,40.67
MP,agenticcyops,300,5,1.67
MP,flat,300,112,37.33
PoT,acl_hardened,75,24,32.0
PoT,agenticcyops,75,5,6.67
PoT,flat,75,24,32.0
