attack_type,config,n,succ,asr_pct
DPI,agenticcyops,1800,69,3.83
DPI,flat,1800,492,27.33
IPI,agenticcyops,1800,57,3.17
IPI,flat,1800,528,29.33
MP,agenticcyops,1200,15,1.25
MP,flat,1200,492,41.0
PoT,agenticcyops,300,20,6.67
PoT,flat,300,108,36.0
