config,total_events,tool_calls,tool_calls_allowed,tool_calls_denied,memory_reads,memory_writes,handoffs,consensus_votes,llm_calls,e2e_latency_s,total_tokens,phases_completed,false_blocks
flat,22,15,15,0,0,0,3,0,4,32.2,12215,4,0
acl_hardened,20,13,6,7,0,0,3,0,4,26.0,12202,4,7
agenticcyops,44,12,10,2,0,0,3,20,4,171.0,6153,4,2
