config,total_events,tool_calls,tool_calls_allowed,tool_calls_denied,memory_reads,memory_writes,handoffs,consensus_votes,llm_calls,e2e_latency_s,total_tokens,phases_completed,false_blocks
flat,29,17,17,0,0,5,3,0,4,13.8,15154,4,0
acl_hardened,30,18,18,0,0,5,3,0,4,13.4,15195,4,0
agenticcyops,140,12,7,5,5,5,3,24,4,252.9,8829,4,5
