config,total_events,tool_calls,tool_calls_allowed,tool_calls_denied,memory_reads,memory_writes,handoffs,consensus_votes,llm_calls,e2e_latency_s,total_tokens,phases_completed,false_blocks
flat,17,10,10,0,0,0,3,0,4,172.6,13508,4,0
acl_hardened,17,10,6,4,0,0,3,0,4,184.1,13804,4,4
agenticcyops,32,10,7,3,0,0,3,12,4,501.1,10512,4,3
