config,total_events,tool_calls,tool_calls_allowed,tool_calls_denied,memory_reads,memory_writes,handoffs,consensus_votes,llm_calls,e2e_latency_s,total_tokens,phases_completed,false_blocks
flat,15,3,3,0,0,5,3,0,4,5.8,17039,4,0
acl_hardened,15,3,3,0,0,5,3,0,4,5.8,17039,4,0
agenticcyops,54,4,3,1,5,5,3,8,4,65.7,9475,4,1
