config,total_events,tool_calls,tool_calls_allowed,tool_calls_denied,memory_reads,memory_writes,handoffs,consensus_votes,llm_calls,e2e_latency_s,total_tokens,phases_completed,false_blocks
flat,27,20,20,0,0,0,3,0,4,43.1,13641,4,0
acl_hardened,27,20,6,14,0,0,3,0,4,45.4,14099,4,14
agenticcyops,38,11,11,0,0,0,3,16,4,221.3,7088,4,0
