config,overall_asr,tsr,tsr_strict,ers,ers_strict,false_blocks,n_groups
flat,0.5889,1.0,1.0,0.4111,0.4111,0,4
acl_hardened,0.59,1.0,0.644725,0.41,0.26435,27,4
agenticcyops,0.13672499999999999,1.0,1.0,0.863275,0.863275,0,4
